image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.843215,bus,van,False
drive_022,2,5,0.75695,van,bus,False
drive_022,3,1,0.876121,car,car,True
drive_022,4,4,0.728853,car,car,True
drive_022,5,3,0.766752,car,car,True
drive_033,1,3,0.690127,car,car,True
drive_033,2,9,0.702116,car,car,True
drive_033,3,7,0.74273,car,car,True
drive_033,4,5,0.52767,car,car,True
drive_033,5,11,0.819174,car,car,True
drive_033,6,2,0.727527,van,bus,False
drive_033,7,1,0.957386,bus,van,False
drive_033,10,6,0.667022,car,car,True
drive_033,11,12,0.735282,bus,van,False
drive_038,1,2,0.858275,car,car,True
drive_038,2,3,0.820814,car,car,True
drive_038,3,5,0.929473,van,bus,False
drive_038,4,8,0.785737,car,car,True
drive_038,5,7,0.725598,car,car,True
drive_038,6,9,0.853356,van,bus,False
drive_038,7,6,0.886694,car,car,True
drive_038,9,15,0.873811,van,truck,False
drive_008,1,12,0.724175,car,truck,False
drive_008,2,6,0.90453,car,car,True
drive_008,3,4,0.740238,car,car,True
drive_008,4,1,0.742781,truck,bus,False
drive_008,5,9,0.921887,bus,van,False
drive_008,6,16,0.83699,car,car,True
drive_008,7,3,0.834389,van,truck,False
drive_008,8,5,0.865203,van,truck,False
drive_008,12,2,0.790761,car,car,True
drive_008,13,11,0.868898,car,car,True
